Original_Exercise,Predicted_Exercise,Accuracy
push_ups,lateral_raise,0.092
push_ups,lateral_raise,0.053
push_ups,lateral_raise,0.2
push_ups,,0
push_ups,lateral_raise,0.232
push_ups,,0
push_ups,lateral_raise,0.253
push_ups,lateral_raise,0.023
push_ups,lateral_raise,0.173
push_ups,lateral_raise,0.234
push_ups,lateral_raise,0.153
push_ups,lateral_raise,0.1
push_ups,lateral_raise,0.197
push_ups,lateral_raise,0.207
push_ups,lateral_raise,0.264
push_ups,lateral_raise,0.144
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.024
push_ups,lateral_raise,0.156
push_ups,,0
push_ups,lateral_raise,0.064
push_ups,lateral_raise,0.162
push_ups,,0
push_ups,lateral_raise,0.003
push_ups,lateral_raise,0.138
push_ups,,0
push_ups,lateral_raise,0.03
push_ups,,0
push_ups,lateral_raise,0.026
push_ups,lateral_raise,0.029
push_ups,lateral_raise,0.177
push_ups,lateral_raise,0.174
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.197
push_ups,lateral_raise,0.224
push_ups,lateral_raise,0.17
push_ups,lateral_raise,0.118
push_ups,lateral_raise,0.158
push_ups,lateral_raise,0.166
push_ups,lateral_raise,0.129
push_ups,lateral_raise,0.19
push_ups,lateral_raise,0.247
push_ups,lateral_raise,0.176
push_ups,lateral_raise,0.091
push_ups,push_ups,0.146
push_ups,lateral_raise,0.116
push_ups,tricep_extension,0.289
push_ups,tricep_extension,0.12
push_ups,,0
push_ups,tricep_extension,0.22
push_ups,tricep_extension,0.179
push_ups,tricep_extension,0.136
push_ups,tricep_extension,0.033
push_ups,bicep_curl,0.022
push_ups,tricep_extension,0.202
push_ups,tricep_extension,0.126
push_ups,lateral_raise,0.262
push_ups,lateral_raise,0.079
push_ups,lateral_raise,0.095
push_ups,lateral_raise,0.146
push_ups,lateral_raise,0.276
push_ups,lateral_raise,0.076
push_ups,tricep_extension,0.182
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.113
push_ups,tricep_extension,0.095
push_ups,lateral_raise,0.051
push_ups,lateral_raise,0.026
push_ups,lateral_raise,0.098
push_ups,lateral_raise,0.005
push_ups,tricep_extension,0.116
push_ups,lateral_raise,0.208
push_ups,,0
push_ups,lateral_raise,0.054
push_ups,lateral_raise,0.056
push_ups,lateral_raise,0.228
push_ups,lateral_raise,0.204
push_ups,lateral_raise,0.11
push_ups,lateral_raise,0.256
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.098
push_ups,lateral_raise,0.111
push_ups,tricep_extension,0.062
push_ups,tricep_extension,0.058
push_ups,lateral_raise,0.137
push_ups,,0
push_ups,lateral_raise,0.032
push_ups,lateral_raise,0.004
push_ups,lateral_raise,0.046
push_ups,,0
push_ups,tricep_extension,0.009
push_ups,lateral_raise,0.114
push_ups,lateral_raise,0.104
push_ups,lateral_raise,0.145
push_ups,tricep_extension,0.048
push_ups,,0
push_ups,,0
push_ups,lateral_raise,0.057
push_ups,lateral_raise,0.042
push_ups,lateral_raise,0.105
push_ups,lateral_raise,0.026
push_ups,lateral_raise,0.086
push_ups,,0
push_ups,lateral_raise,0.1
push_ups,lateral_raise,0.141
push_ups,lateral_raise,0.054
push_ups,lateral_raise,0.089
push_ups,,0
push_ups,lateral_raise,0.107
push_ups,tricep_extension,0.096
push_ups,lateral_raise,0.003
push_ups,lateral_raise,0.095
push_ups,lateral_raise,0.061
push_ups,lateral_raise,0.16
push_ups,,0
push_ups,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,bicep_curl,0.159
lateral_raise,lateral_raise,0.077
lateral_raise,lateral_raise,0.011
lateral_raise,tricep_extension,0.127
lateral_raise,lateral_raise,0.1
lateral_raise,,0
lateral_raise,tricep_extension,0.147
lateral_raise,,0
lateral_raise,tricep_extension,0.1
lateral_raise,tricep_extension,0.018
lateral_raise,tricep_extension,0.079
lateral_raise,push_ups,0.186
lateral_raise,tricep_extension,0.143
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,bicep_curl,0.014
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.249
lateral_raise,,0
lateral_raise,,0
lateral_raise,,0
lateral_raise,lateral_raise,0.079
lateral_raise,tricep_extension,0.147
